year,district,districtID,stream,subdistrict,fage,oage,prop
2009,NaknekKvichak,324,,Kvi Set,1,2,0.187165775
2009,NaknekKvichak,324,,Kvi Set,1,3,0.422459893
2009,NaknekKvichak,324,,Kvi Set,2,2,0.382352941
2009,NaknekKvichak,324,,Kvi Set,2,3,0.00802139
2010,NaknekKvichak,324,,Kvi Set,1,2,0.279448622
2010,NaknekKvichak,324,,Kvi Set,1,3,0.295739348
2010,NaknekKvichak,324,,Kvi Set,2,2,0.352130326
2010,NaknekKvichak,324,,Kvi Set,2,3,0.072681704
2011,NaknekKvichak,324,,Kvi Set,1,2,0.184573003
2011,NaknekKvichak,324,,Kvi Set,1,3,0.432506887
2011,NaknekKvichak,324,,Kvi Set,2,2,0.101928375
2011,NaknekKvichak,324,,Kvi Set,1,4,0.002754821
2011,NaknekKvichak,324,,Kvi Set,2,3,0.278236915
1999,NaknekKvichak,324,,NRSHA,1,2,0.3708
1999,NaknekKvichak,324,,NRSHA,1,3,0.1348
1999,NaknekKvichak,324,,NRSHA,2,2,0.2135
1999,NaknekKvichak,324,,NRSHA,1,4,0.0075
1999,NaknekKvichak,324,,NRSHA,2,3,0.2734
2000,NaknekKvichak,324,,NRSHA,1,2,0.0798
2000,NaknekKvichak,324,,NRSHA,0,4,0.0003
2000,NaknekKvichak,324,,NRSHA,1,3,0.721
2000,NaknekKvichak,324,,NRSHA,2,2,0.0487
2000,NaknekKvichak,324,,NRSHA,1,4,0.0018
2000,NaknekKvichak,324,,NRSHA,2,3,0.1485
2001,NaknekKvichak,324,,NRSHA,1,1,0.0004
2001,NaknekKvichak,324,,NRSHA,0,3,0.0005
2001,NaknekKvichak,324,,NRSHA,1,2,0.0169
2001,NaknekKvichak,324,,NRSHA,2,1,0.0001
2001,NaknekKvichak,324,,NRSHA,1,3,0.9313
2001,NaknekKvichak,324,,NRSHA,2,2,0.0105
2001,NaknekKvichak,324,,NRSHA,1,4,0.0088
2001,NaknekKvichak,324,,NRSHA,2,3,0.0309
2001,NaknekKvichak,324,,NRSHA,2,4,0.0006
2002,NaknekKvichak,324,,NRSHA,0,2,0.0002
2002,NaknekKvichak,324,,NRSHA,1,2,0.1833
2002,NaknekKvichak,324,,NRSHA,1,3,0.3161
2002,NaknekKvichak,324,,NRSHA,2,2,0.3324
2002,NaknekKvichak,324,,NRSHA,1,4,0.0324
2002,NaknekKvichak,324,,NRSHA,2,3,0.1339
2002,NaknekKvichak,324,,NRSHA,3,2,0.0007
2002,NaknekKvichak,324,,NRSHA,2,4,0.0008
2002,NaknekKvichak,324,,NRSHA,3,3,0.0002
2003,NaknekKvichak,324,,NRSHA,1,1,0.0001
2003,NaknekKvichak,324,,NRSHA,0,3,0
2003,NaknekKvichak,324,,NRSHA,1,2,0.1316
2003,NaknekKvichak,324,,NRSHA,2,1,0.0004
2003,NaknekKvichak,324,,NRSHA,1,3,0.4174
2003,NaknekKvichak,324,,NRSHA,2,2,0.106
2003,NaknekKvichak,324,,NRSHA,1,4,0.0037
2003,NaknekKvichak,324,,NRSHA,2,3,0.3389
2003,NaknekKvichak,324,,NRSHA,3,2,0.0016
2003,NaknekKvichak,324,,NRSHA,2,4,0.0004
2004,NaknekKvichak,324,,NRSHA,0,3,0.000333897
2004,NaknekKvichak,324,,NRSHA,1,2,0.308832943
2004,NaknekKvichak,324,,NRSHA,1,3,0.303248739
2004,NaknekKvichak,324,,NRSHA,2,2,0.231472969
2004,NaknekKvichak,324,,NRSHA,1,4,0.002139343
2004,NaknekKvichak,324,,NRSHA,2,3,0.151475142
2004,NaknekKvichak,324,,NRSHA,2,4,0.002346609
2004,NaknekKvichak,324,,NRSHA,3,4,0.000150358
2005,NaknekKvichak,324,,NRSHA,1,1,8.47E-05
2005,NaknekKvichak,324,,NRSHA,0,3,8.47E-05
2005,NaknekKvichak,324,,NRSHA,1,2,0.039338087
2005,NaknekKvichak,324,,NRSHA,2,1,0.000103287
2005,NaknekKvichak,324,,NRSHA,1,3,0.768775716
2005,NaknekKvichak,324,,NRSHA,2,2,0.06296073
2005,NaknekKvichak,324,,NRSHA,1,4,0.001600317
2005,NaknekKvichak,324,,NRSHA,2,3,0.127052464
2006,NaknekKvichak,324,,NRSHA,1,2,0.155857163
2006,NaknekKvichak,324,,NRSHA,1,3,0.665824741
2006,NaknekKvichak,324,,NRSHA,1,4,0.013013569
2006,NaknekKvichak,324,,NRSHA,2,2,0.063228823
2006,NaknekKvichak,324,,NRSHA,2,3,0.100256812
2006,NaknekKvichak,324,,NRSHA,3,2,0.000803106
2006,NaknekKvichak,324,,NRSHA,2,4,0.000507893
2006,NaknekKvichak,324,,NRSHA,3,3,0.000507893
2007,NaknekKvichak,324,,NRSHA,1,2,0.342449465
2007,NaknekKvichak,324,,NRSHA,1,3,0.510107015
2007,NaknekKvichak,324,,NRSHA,2,2,0.026159334
2007,NaknekKvichak,324,,NRSHA,1,4,0.005945303
2007,NaknekKvichak,324,,NRSHA,2,3,0.115338882
1999,Nushagak,325,300,WRSHA,1,2,0.6105
1999,Nushagak,325,300,WRSHA,1,3,0.285
1999,Nushagak,325,300,WRSHA,2,2,0.0761
1999,Nushagak,325,300,WRSHA,1,4,0.0013
1999,Nushagak,325,300,WRSHA,2,3,0.0271
2000,Nushagak,325,300,WRSHA,1,2,0.4144
2000,Nushagak,325,300,WRSHA,1,3,0.5426
2000,Nushagak,325,300,WRSHA,2,2,0.0204
2000,Nushagak,325,300,WRSHA,2,3,0.0227
2002,Nushagak,325,300,WRSHA,0,2,0.0019
2002,Nushagak,325,300,WRSHA,0,3,0.0013
2002,Nushagak,325,300,WRSHA,1,2,0.8274
2002,Nushagak,325,300,WRSHA,2,1,0.0006
2002,Nushagak,325,300,WRSHA,1,3,0.1082
2002,Nushagak,325,300,WRSHA,2,2,0.053
2002,Nushagak,325,300,WRSHA,1,4,0.0039
2002,Nushagak,325,300,WRSHA,2,3,0.0035
2010,Nushagak,325,300,WRSHA,1,2,0.340490888
2010,Nushagak,325,300,WRSHA,1,3,0.595109464
2010,Nushagak,325,300,WRSHA,2,2,0.03893193
2010,Nushagak,325,300,WRSHA,2,3,0.025467717
2012,NaknekKvichak,324,,Kvi Set,0,2,0
2012,NaknekKvichak,324,,Kvi Set,0,3,0.000576515
2012,NaknekKvichak,324,,Kvi Set,0,4,0
2012,NaknekKvichak,324,,Kvi Set,0,5,0
2012,NaknekKvichak,324,,Kvi Set,1,1,0
2012,NaknekKvichak,324,,Kvi Set,1,2,0.161693421
2012,NaknekKvichak,324,,Kvi Set,1,3,0.39622784
2012,NaknekKvichak,324,,Kvi Set,1,4,0.003738582
2012,NaknekKvichak,324,,Kvi Set,1,5,0
2012,NaknekKvichak,324,,Kvi Set,2,1,0
2012,NaknekKvichak,324,,Kvi Set,2,2,0.307585734
2012,NaknekKvichak,324,,Kvi Set,2,3,0.127295336
2012,NaknekKvichak,324,,Kvi Set,2,4,0.002306058
2012,NaknekKvichak,324,,Kvi Set,3,1,0
2012,NaknekKvichak,324,,Kvi Set,3,2,0.000576515
2012,NaknekKvichak,324,,Kvi Set,3,3,0
2012,Nushagak,325,300,WRSHA,0,2,0
2012,Nushagak,325,300,WRSHA,0,3,0
2012,Nushagak,325,300,WRSHA,0,4,0
2012,Nushagak,325,300,WRSHA,0,5,0
2012,Nushagak,325,300,WRSHA,1,1,0
2012,Nushagak,325,300,WRSHA,1,2,0.451704545
2012,Nushagak,325,300,WRSHA,1,3,0.318181818
2012,Nushagak,325,300,WRSHA,1,4,0.002840909
2012,Nushagak,325,300,WRSHA,1,5,0
2012,Nushagak,325,300,WRSHA,2,1,0
2012,Nushagak,325,300,WRSHA,2,2,0.190340909
2012,Nushagak,325,300,WRSHA,2,3,0.036931818
2012,Nushagak,325,300,WRSHA,2,4,0
2012,Nushagak,325,300,WRSHA,3,1,0
2012,Nushagak,325,300,WRSHA,3,2,0
2012,Nushagak,325,300,WRSHA,3,3,0
2012,Nushagak,325,100,Igushik Set,0,2,0
2012,Nushagak,325,100,Igushik Set,0,3,0
2012,Nushagak,325,100,Igushik Set,0,4,0
2012,Nushagak,325,100,Igushik Set,0,5,0
2012,Nushagak,325,100,Igushik Set,1,1,0
2012,Nushagak,325,100,Igushik Set,1,2,0.139167862
2012,Nushagak,325,100,Igushik Set,1,3,0.776183644
2012,Nushagak,325,100,Igushik Set,1,4,0.00143472
2012,Nushagak,325,100,Igushik Set,1,5,0
2012,Nushagak,325,100,Igushik Set,2,1,0
2012,Nushagak,325,100,Igushik Set,2,2,0.043041607
2012,Nushagak,325,100,Igushik Set,2,3,0.040172166
2012,Nushagak,325,100,Igushik Set,2,4,0
2012,Nushagak,325,100,Igushik Set,3,1,0
2012,Nushagak,325,100,Igushik Set,3,2,0
2012,Nushagak,325,100,Igushik Set,3,3,0
2013,NaknekKvichak,324,,Kvi Set,0,2,0
2013,NaknekKvichak,324,,Kvi Set,0,3,0
2013,NaknekKvichak,324,,Kvi Set,0,4,0
2013,NaknekKvichak,324,,Kvi Set,0,5,0
2013,NaknekKvichak,324,,Kvi Set,1,1,0
2013,NaknekKvichak,324,,Kvi Set,1,2,0.115789474
2013,NaknekKvichak,324,,Kvi Set,1,3,0.407368421
2013,NaknekKvichak,324,,Kvi Set,1,4,0.003157895
2013,NaknekKvichak,324,,Kvi Set,1,5,0
2013,NaknekKvichak,324,,Kvi Set,2,1,0.002105263
2013,NaknekKvichak,324,,Kvi Set,2,2,0.208421053
2013,NaknekKvichak,324,,Kvi Set,2,3,0.262105263
2013,NaknekKvichak,324,,Kvi Set,2,4,0
2013,NaknekKvichak,324,,Kvi Set,3,1,0
2013,NaknekKvichak,324,,Kvi Set,3,2,0
2013,NaknekKvichak,324,,Kvi Set,3,3,0.001052632
2013,Nushagak,325,100,Igushik Set,0,2,0
2013,Nushagak,325,100,Igushik Set,0,3,0
2013,Nushagak,325,100,Igushik Set,0,4,0
2013,Nushagak,325,100,Igushik Set,0,5,0
2013,Nushagak,325,100,Igushik Set,1,1,0
2013,Nushagak,325,100,Igushik Set,1,2,0.128534704
2013,Nushagak,325,100,Igushik Set,1,3,0.83033419
2013,Nushagak,325,100,Igushik Set,1,4,0
2013,Nushagak,325,100,Igushik Set,1,5,0
2013,Nushagak,325,100,Igushik Set,2,1,0
2013,Nushagak,325,100,Igushik Set,2,2,0.038560411
2013,Nushagak,325,100,Igushik Set,2,3,0.002570694
2013,Nushagak,325,100,Igushik Set,2,4,0
2013,Nushagak,325,100,Igushik Set,3,1,0
2013,Nushagak,325,100,Igushik Set,3,2,0
2013,Nushagak,325,100,Igushik Set,3,3,0
2014,NaknekKvichak,324,,Kvi Set,0,2,0
2014,NaknekKvichak,324,,Kvi Set,0,3,0.000475798
2014,NaknekKvichak,324,,Kvi Set,0,4,0
2014,NaknekKvichak,324,,Kvi Set,0,5,0
2014,NaknekKvichak,324,,Kvi Set,1,1,0.000567043
2014,NaknekKvichak,324,,Kvi Set,1,2,0.471539976
2014,NaknekKvichak,324,,Kvi Set,1,3,0.126920313
2014,NaknekKvichak,324,,Kvi Set,1,4,0.001427393
2014,NaknekKvichak,324,,Kvi Set,1,5,0
2014,NaknekKvichak,324,,Kvi Set,2,1,0.001134087
2014,NaknekKvichak,324,,Kvi Set,2,2,0.343296944
2014,NaknekKvichak,324,,Kvi Set,2,3,0.054162649
2014,NaknekKvichak,324,,Kvi Set,2,4,0.000475798
2014,NaknekKvichak,324,,Kvi Set,3,1,0
2014,NaknekKvichak,324,,Kvi Set,3,2,0
2014,NaknekKvichak,324,,Kvi Set,3,3,0
2014,Nushagak,325,100,Igushik Set,0,2,0
2014,Nushagak,325,100,Igushik Set,0,3,0
2014,Nushagak,325,100,Igushik Set,0,4,0
2014,Nushagak,325,100,Igushik Set,0,5,0
2014,Nushagak,325,100,Igushik Set,1,1,0
2014,Nushagak,325,100,Igushik Set,1,2,0.322004623
2014,Nushagak,325,100,Igushik Set,1,3,0.536063939
2014,Nushagak,325,100,Igushik Set,1,4,0.001433394
2014,Nushagak,325,100,Igushik Set,1,5,0
2014,Nushagak,325,100,Igushik Set,2,1,0
2014,Nushagak,325,100,Igushik Set,2,2,0.071022226
2014,Nushagak,325,100,Igushik Set,2,3,0.068760533
2014,Nushagak,325,100,Igushik Set,2,4,0.000715284
2014,Nushagak,325,100,Igushik Set,3,1,0
2014,Nushagak,325,100,Igushik Set,3,2,0
2014,Nushagak,325,100,Igushik Set,3,3,0
2014,Nushagak,325,300,WRSHA,0,2,0
2014,Nushagak,325,300,WRSHA,0,3,0.000653432
2014,Nushagak,325,300,WRSHA,0,4,0
2014,Nushagak,325,300,WRSHA,0,5,0
2014,Nushagak,325,300,WRSHA,1,1,0.002911587
2014,Nushagak,325,300,WRSHA,1,2,0.79811872
2014,Nushagak,325,300,WRSHA,1,3,0.176198077
2014,Nushagak,325,300,WRSHA,1,4,0.002680442
2014,Nushagak,325,300,WRSHA,1,5,0
2014,Nushagak,325,300,WRSHA,2,1,0
2014,Nushagak,325,300,WRSHA,2,2,0.016135894
2014,Nushagak,325,300,WRSHA,2,3,0.003301846
2014,Nushagak,325,300,WRSHA,2,4,0
2014,Nushagak,325,300,WRSHA,3,1,0
2014,Nushagak,325,300,WRSHA,3,2,0
2014,Nushagak,325,300,WRSHA,3,3,0
2015,NaknekKvichak,324,,Kvi Set,0,2,0
2015,NaknekKvichak,324,,Kvi Set,0,3,0
2015,NaknekKvichak,324,,Kvi Set,0,4,0
2015,NaknekKvichak,324,,Kvi Set,0,5,0
2015,NaknekKvichak,324,,Kvi Set,1,1,0
2015,NaknekKvichak,324,,Kvi Set,1,2,0.099533437
2015,NaknekKvichak,324,,Kvi Set,1,3,0.283048212
2015,NaknekKvichak,324,,Kvi Set,1,4,0.00311042
2015,NaknekKvichak,324,,Kvi Set,1,5,0
2015,NaknekKvichak,324,,Kvi Set,2,1,0
2015,NaknekKvichak,324,,Kvi Set,2,2,0.566096423
2015,NaknekKvichak,324,,Kvi Set,2,3,0.048211509
2015,NaknekKvichak,324,,Kvi Set,2,4,0
2015,NaknekKvichak,324,,Kvi Set,3,1,0
2015,NaknekKvichak,324,,Kvi Set,3,2,0
2015,NaknekKvichak,324,,Kvi Set,3,3,0
2015,Nushagak,325,100,Igushik Set,0,2,0
2015,Nushagak,325,100,Igushik Set,0,3,0
2015,Nushagak,325,100,Igushik Set,0,4,0
